"location","block","plot","diversity","log.diversity","biomass"
"Germany",1,"B1P001",1,0,619.7
"Germany",1,"B1P002",16,4,832.4
"Germany",1,"B1P003",2,1,427.7
"Germany",1,"B1P004",1,0,259.9
"Germany",1,"B1P005",2,1,794.3
"Germany",1,"B1P006",1,0,233.3
"Germany",1,"B1P007",1,0,498.5
"Germany",1,"B1P008",2,1,472.1
"Germany",1,"B1P009",8,3,574.7
"Germany",1,"B1P010",4,2,446.5
"Germany",1,"B1P011",16,4,528.7
"Germany",1,"B1P013",4,2,605.2
"Germany",1,"B1P014",2,1,464.4
"Germany",1,"B1P015",8,3,475.8
"Germany",1,"B1P016",8,3,577.5
"Germany",1,"B1P017",4,2,837
"Germany",1,"B1P018",1,0,423.7
"Germany",1,"B1P019",2,1,570.3
"Germany",1,"B1P020",1,0,196.4
"Germany",1,"B1P021",1,0,561.2
"Germany",1,"B1P022",8,3,589
"Germany",1,"B1P023",4,2,748.2
"Germany",1,"B1P024",1,0,757.6
"Germany",1,"B1P025",2,1,329.9
"Germany",1,"B1P026",8,3,362.7
"Germany",1,"B1P027",2,1,495.5
"Germany",1,"B1P028",16,4,289.6
"Germany",1,"B1P030",1,0,295.5
"Germany",1,"B1P031",4,2,407.3
"Germany",1,"B1P032",1,0,439
"Germany",2,"B1P033",1,0,280.9
"Germany",2,"B1P034",2,1,266.3
"Germany",2,"B1P035",2,1,498
"Germany",2,"B1P036",4,2,709.6
"Germany",2,"B1P037",8,3,312.3
"Germany",2,"B1P038",16,4,607.9
"Germany",2,"B1P039",1,0,253
"Germany",2,"B1P040",4,2,419.3
"Germany",2,"B1P042",1,0,452.7
"Germany",2,"B1P043",1,0,546.5
"Germany",2,"B1P044",8,3,579.5
"Germany",2,"B1P045",8,3,808.6
"Germany",2,"B1P046",2,1,758.6
"Germany",2,"B1P047",1,0,402.5
"Germany",2,"B1P048",1,0,554.3
"Germany",2,"B1P049",2,1,581.5
"Germany",2,"B1P050",4,2,682.5
"Germany",2,"B1P051",16,4,575.5
"Germany",2,"B1P052",1,0,530.3
"Germany",2,"B1P053",1,0,197.8
"Germany",2,"B1P054",2,1,549.3
"Germany",2,"B1P055",4,2,581.4
"Germany",2,"B1P056",16,4,885.3
"Germany",2,"B1P057",4,2,567.1
"Germany",2,"B1P058",1,0,643.2
"Germany",2,"B1P059",8,3,540.5
"Germany",2,"B1P060",2,1,630.3
"Germany",2,"B1P062",2,1,739.1
"Germany",2,"B1P063",1,0,507
"Germany",2,"B1P064",8,3,499.2
"Portugal",1,"C2P001",1,0,177.2
"Portugal",1,"C2P002",1,0,320.5
"Portugal",1,"C2P003",4,2,373
"Portugal",1,"C2P004",2,1,192.9
"Portugal",1,"C2P005",1,0,362.4
"Portugal",1,"C2P006",8,3,283.3
"Portugal",1,"C2P007",1,0,36
"Portugal",1,"C2P008",1,0,39.2
"Portugal",1,"C2P009",4,2,373.3
"Portugal",1,"C2P010",1,0,66.9
"Portugal",1,"C2P012",1,0,44.6
"Portugal",1,"C2P013",1,0,18.2
"Portugal",1,"C2P014",1,0,9.8
"Portugal",1,"C2P015",1,0,102.6
"Portugal",1,"C2P016",1,0,128.6
"Portugal",1,"C2P017",1,0,136.5
"Portugal",1,"C2P018",1,0,70
"Portugal",1,"C2P019",1,0,304.7
"Portugal",1,"C2P020",4,2,365.5
"Portugal",1,"C2P021",1,0,310
"Portugal",1,"C2P024",2,1,222.3
"Portugal",1,"C2P025",1,0,162.9
