station,trt,N,Nseeds
37,fungicide,56,2096
38,fungicide,21,1470
39,fungicide,26,1424
40,fungicide,38,6382
41,fungicide,14,20196
42,fungicide,43,2626
48,fungicide,32,9177
49,fungicide,39,2713
50,fungicide,189,838
51,fungicide,60,1698
52,fungicide,26,3750
53,fungicide,22,2398
59,fungicide,44,910
60,fungicide,59,918
61,fungicide,380,1314
62,fungicide,110,4905
63,fungicide,18,5303
64,fungicide,51,10352
70,fungicide,56,653
71,fungicide,31,6111
72,fungicide,40,6214
73,fungicide,12,2559
74,fungicide,12,2203
75,fungicide,13,1604
81,fungicide,32,549
82,fungicide,56,1190
83,fungicide,66,8059
84,fungicide,33,3740
85,fungicide,40,891
86,fungicide,19,304
92,fungicide,48,1193
93,fungicide,80,2379
94,fungicide,39,3092
95,fungicide,21,931
96,fungicide,10,1061
97,fungicide,15,2350
37,control,77,2096
38,control,22,1470
39,control,26,1424
40,control,14,6382
41,control,12,20196
42,control,55,2626
48,control,28,9177
49,control,34,2713
50,control,56,838
51,control,17,1698
52,control,20,3750
53,control,27,2398
59,control,40,910
60,control,56,918
61,control,55,1314
62,control,64,4905
63,control,18,5303
64,control,73,10352
70,control,16,653
71,control,46,6111
72,control,18,6214
73,control,6,2559
74,control,3,2203
75,control,28,1604
81,control,18,549
82,control,89,1190
83,control,44,8059
84,control,18,3740
85,control,152,891
86,control,20,304
92,control,38,1193
93,control,29,2379
94,control,38,3092
95,control,29,931
96,control,12,1061
97,control,30,2350
37,insecticide,79,2096
38,insecticide,56,1470
39,insecticide,51,1424
40,insecticide,25,6382
41,insecticide,128,20196
42,insecticide,126,2626
48,insecticide,91,9177
49,insecticide,60,2713
50,insecticide,35,838
51,insecticide,45,1698
52,insecticide,69,3750
53,insecticide,68,2398
59,insecticide,71,910
60,insecticide,67,918
61,insecticide,121,1314
62,insecticide,140,4905
63,insecticide,62,5303
64,insecticide,163,10352
70,insecticide,41,653
71,insecticide,85,6111
72,insecticide,75,6214
73,insecticide,84,2559
74,insecticide,41,2203
75,insecticide,37,1604
81,insecticide,42,549
82,insecticide,128,1190
83,insecticide,289,8059
84,insecticide,105,3740
85,insecticide,69,891
86,insecticide,49,304
92,insecticide,379,1193
93,insecticide,117,2379
94,insecticide,132,3092
95,insecticide,80,931
96,insecticide,43,1061
97,insecticide,63,2350
