N,Species,Temperature,Speed
1,Trout,3,48.1
2,Trout,6,51.2
3,Trout,11,73.1
4,Trout,12,78.1
5,Trout,15,81.1
6,Trout,21,94.5
7,Trout,24,99
8,Trout,26,115.3
9,Trout,28,113.7
10,Trout,30,118.7
11,Galaxias,4,26.1
12,Galaxias,9,33.7
13,Galaxias,12,31.4
14,Galaxias,14,38.5
15,Galaxias,15,36.9
16,Galaxias,17,39.1
17,Galaxias,18,42.2
18,Galaxias,21,43.3
19,Tenebrias,3,52.8
20,Tenebrias,5,56.3
21,Tenebrias,9,62.8
22,Tenebrias,11,65.8
23,Tenebrias,13,77.9
24,Tenebrias,16,82.4
25,Tenebrias,19,93.2
26,Tenebrias,22,94.5
27,Tenebrias,25,103.4
28,Tenebrias,27,109.9
29,Tenebrias,30,113.8
